,time,country,category,peak
133,2021-11-16T08:00:00Z,US,cases,1
134,2021-11-15T18:00:03Z,US,other,1
135,2021-11-15T08:00:00Z,US,cases,1
136,2021-11-14T08:00:00Z,US,cases,1
137,2021-11-13T08:00:00Z,US,cases,1
138,2021-11-12T08:00:00Z,US,cases,1
139,2021-11-11T08:00:00Z,US,cases,1
140,2021-11-10T18:18:08Z,US,live,1
141,2021-11-10T08:00:00Z,US,cases,1
142,2021-11-09T08:00:00Z,US,cases,1
143,2021-11-08T18:02:15Z,US,other,1
144,2021-11-08T08:00:00Z,US,cases,1
145,2021-11-07T08:00:00Z,US,cases,1
146,2021-11-06T08:00:00Z,US,cases,0
147,2021-11-05T08:00:00Z,US,cases,0
148,2021-11-04T08:00:00Z,US,cases,0
149,2021-11-03T20:04:45Z,US,president speech,0
150,2021-11-03T19:03:06Z,US,live,0
151,2021-11-03T08:00:00Z,US,cases,0
152,2021-11-02T08:00:00Z,US,cases,0
153,2021-11-01T17:00:40Z,US,other,1
154,2021-11-01T08:00:00Z,US,cases,0
155,2021-10-31T08:00:00Z,US,cases,0
156,2021-10-30T07:00:00Z,US,cases,1
157,2021-10-29T07:00:00Z,US,cases,1
158,2021-10-28T07:00:00Z,US,cases,1
159,2021-10-27T17:02:02Z,US,other,1
160,2021-10-27T07:00:00Z,US,cases,1
161,2021-10-26T07:00:00Z,US,cases,1
162,2021-10-25T18:01:45Z,US,live,0
163,2021-10-25T07:00:00Z,US,cases,1
164,2021-10-24T07:00:00Z,US,cases,1
165,2021-10-23T07:00:00Z,US,cases,1
166,2021-10-22T07:00:00Z,US,cases,1
167,2021-10-21T07:00:00Z,US,cases,1
168,2021-10-20T17:05:39Z,US,other,1
169,2021-10-20T07:00:00Z,US,cases,1
170,2021-10-19T07:00:00Z,US,cases,1
171,2021-10-18T17:01:18Z,US,other,1
172,2021-10-18T07:00:00Z,US,cases,1
173,2021-10-17T07:00:00Z,US,cases,1
174,2021-10-16T07:00:00Z,US,cases,1
175,2021-10-15T18:05:00Z,US,live,0
176,2021-10-15T07:00:00Z,US,cases,1
177,2021-10-14T07:00:00Z,US,cases,1
178,2021-10-13T18:00:44Z,US,other,0
179,2021-10-13T07:00:00Z,US,cases,1
180,2021-10-12T07:00:00Z,US,cases,1
181,2021-10-11T07:00:00Z,US,cases,1
182,2021-10-10T07:00:00Z,US,cases,1
183,2021-10-09T07:00:00Z,US,cases,1
184,2021-10-08T07:00:00Z,US,cases,1
185,2021-10-07T19:43:34Z,US,president speech,0
186,2021-10-07T07:00:00Z,US,cases,1
187,2021-10-06T17:03:41Z,US,other,1
188,2021-10-06T07:00:00Z,US,cases,1
189,2021-10-05T07:00:00Z,US,cases,1
